country_name,city_name,aqi_value,aqi_category,co_aqi_value,co_aqi_category,ozone_aqi_value,ozone_aqi_category,no2_aqi_value,no2_aqi_category,pm2.5_aqi_value,pm2.5_aqi_category,lat,lon
Brazil,Ipero,77,2,2,1,10,1,5,1,77,2,-23.3508977,-47.687611
Brazil,Itacoatiara,21,1,0,1,7,1,0,1,21,1,-3.1477898,-58.4461041
Czechia,Jesenik,73,2,1,1,41,1,1,1,73,2,50.2296385,17.2046012
Brazil,Jucas,29,1,0,1,11,1,1,1,29,1,-6.5224934,-39.5247183
India,Junagadh,133,3,0,1,27,1,0,1,133,3,21.5220416,70.4582458
Pakistan,Kahuta,149,3,2,1,129,3,0,1,149,3,33.5913158,73.3882346
Japan,Kakuda,41,1,1,1,41,1,1,1,40,1,37.9770215,140.7820521
Pakistan,Kalat,148,3,0,1,43,1,0,1,148,3,29.029138,66.5887761
Serbia,Kaluderica,79,2,1,1,44,1,2,1,79,2,44.7557801,20.5579418
India,Kankon,83,2,0,1,23,1,0,1,83,2,15.0409469,74.0341015
United Republic of Tanzania,Katoro,33,1,1,1,15,1,0,1,33,1,-3.0048496,31.927419
Switzerland,Hinwil,41,1,1,1,35,1,2,1,41,1,47.3015316,8.8419423
Germany,Hunxe,33,1,1,1,32,1,2,1,33,1,51.6414581,6.7660319
India,Khed Brahma,182,4,1,1,35,1,0,1,182,4,24.0297442,73.041523
Germany,Kirchlinteln,33,1,0,1,33,1,1,1,13,1,52.939008,9.315048
Poland,Klobuck,80,2,1,1,38,1,1,1,80,2,50.9025547,18.93716
Japan,Kodama,27,1,1,1,24,1,3,1,27,1,36.7566677,138.2265022
Turkey,Korfez,43,1,1,1,35,1,0,1,43,1,40.760756,29.7839402
India,Kosamba,156,4,1,1,25,1,1,1,156,4,21.6384031,79.6510143
United States of America,Shenandoah,44,1,1,1,22,1,4,1,44,1,40.7655468,-95.3723535
China,Shenxian,157,4,5,1,82,2,17,1,157,4,36.23788,115.6667421
Japan,Shiki,88,2,2,1,22,1,21,1,88,2,35.8365194,139.5800351
South Africa,Kriel,102,3,1,1,16,1,12,1,102,3,-26.258889,29.262778
China,Shuiji,89,2,4,1,63,2,10,1,89,2,27.4186811,118.3427799
Thailand,Si Satchanalai,62,2,1,1,17,1,1,1,62,2,17.4015682,99.8023796
Guinea,Siguiri,56,2,1,1,21,1,0,1,56,2,11.4195265,-9.1751513
United Republic of Tanzania,Kyaka,23,1,1,1,18,1,0,1,23,1,-1.2522979,31.4224552
Spain,La Puebla De Cazalla,28,1,1,1,28,1,2,1,28,1,37.2219965,-5.3119668
Indonesia,Labuhan,176,4,3,1,176,4,1,1,137,3,-6.887329,112.9877436
Belgium,Sint Genesius Rode,54,2,1,1,39,1,2,1,54,2,50.74503,4.3463687
India,Siolim,48,1,1,1,23,1,1,1,48,1,15.6270222,73.7656851
India,Sirmaur,171,4,3,1,96,2,4,1,171,4,27.535122,76.9130945
India,Laharpur,177,4,4,1,177,4,1,1,174,4,23.7048552,77.6396137
United States of America,Lake Shore,55,2,1,1,48,1,3,1,55,2,46.4855226,-94.3605573
Russia,Skovorodino,214,5,8,1,25,1,9,1,214,5,53.9862567,123.9373454
Serbia,Smederevska Palanka,59,2,1,1,59,2,0,1,58,2,44.3658207,20.9579781
Greece,Lamia,65,2,1,1,45,1,0,1,65,2,38.8993832,22.433582
Germany,Langen,62,2,1,1,42,1,2,1,62,2,49.9927036,8.6671682
